column,labels,file_name,is_valid
country,Country identifier,sharew3_rel9-0-0_gs.dta,True
language,Language of questionnaire,sharew3_rel9-0-0_gs.dta,True
sl_gs001_,Willing to have handgrip measured,sharew3_rel9-0-0_gs.dta,True
sl_gs010d1,Why not completed gs test: r felt it would not be safe,sharew3_rel9-0-0_gs.dta,True
sl_gs010d2,Why not completed gs test: iwer felt it would not be safe,sharew3_rel9-0-0_gs.dta,True
sl_gs010d3,Why not completed gs test: r refused no reason given,sharew3_rel9-0-0_gs.dta,True
sl_gs010d4,Why not completed gs test: r tried but was unable to complete test,sharew3_rel9-0-0_gs.dta,True
sl_gs010d5,Why not completed gs test: r did not understand the instructions,sharew3_rel9-0-0_gs.dta,True
sl_gs010d6,Why not completed gs test: r had surgery injury swelling etc.,sharew3_rel9-0-0_gs.dta,True
sl_gs010dot,Why not completed gs test: others,sharew3_rel9-0-0_gs.dta,True
sl_gs002_,Record respondent status,sharew3_rel9-0-0_gs.dta,True
sl_gs004_,Dominant hand,sharew3_rel9-0-0_gs.dta,True
sl_gs006_,1st measurement: left hand,sharew3_rel9-0-0_gs.dta,True
sl_gs007_,2nd measurement: left hand,sharew3_rel9-0-0_gs.dta,True
sl_gs008_,1st measurement: right hand,sharew3_rel9-0-0_gs.dta,True
sl_gs009_,2nd measurement: right hand,sharew3_rel9-0-0_gs.dta,True
sl_gs012_,How much effort gave r,sharew3_rel9-0-0_gs.dta,True
sl_gs013_,The position of r for this test,sharew3_rel9-0-0_gs.dta,True
sl_gs014_,R rested his/her arms on a support,sharew3_rel9-0-0_gs.dta,True
sl_maxgrip,Max. of grip strength measures,sharew3_rel9-0-0_gs.dta,True
sl_re002_,Year finished fulltime education,sharew3_rel9-0-0_re.dta,True
sl_re003_,Situation at age 15 if no education,sharew3_rel9-0-0_re.dta,True
sl_re005_,Ever done paid work,sharew3_rel9-0-0_re.dta,True
sl_re006_,Start first paid job,sharew3_rel9-0-0_re.dta,True
sl_re007_,Situation in gap after education,sharew3_rel9-0-0_re.dta,True
sl_re008_1,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_1,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_1,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_2,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_2,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_2,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_3,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_3,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_3,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_4,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_4,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_4,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_5,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_5,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_5,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_6,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_6,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_6,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_7,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_7,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_7,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_8,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_8,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_8,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_9,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_9,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_9,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_10,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_10,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_10,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_11,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re009_11,Year of change of situation,sharew3_rel9-0-0_re.dta,True
sl_re010_11,Situation changed to,sharew3_rel9-0-0_re.dta,True
sl_re008_12,Did situation ever change,sharew3_rel9-0-0_re.dta,True
sl_re011_1,Year started job,sharew3_rel9-0-0_re.dta,True
sl_re012isco_1,ISCO-08 code: Title of job,sharew3_rel9-0-0_re.dta,True
sl_re013_1,Job description,sharew3_rel9-0-0_re.dta,True
sl_re014_1,Job industry,sharew3_rel9-0-0_re.dta,True
sl_re015_1,Was employee civil servant or self,sharew3_rel9-0-0_re.dta,True
sl_re016_1,Job was part or full time,sharew3_rel9-0-0_re.dta,True
sl_re017_1,Why worked part-time,sharew3_rel9-0-0_re.dta,True
sl_re018_1,When changed to part-time,sharew3_rel9-0-0_re.dta,True
sl_re019_1,Reasons changing to part-time,sharew3_rel9-0-0_re.dta,True
sl_re020_1,When changed to full-time,sharew3_rel9-0-0_re.dta,True
sl_re021_1,First monthly wage in job,sharew3_rel9-0-0_re.dta,True
sl_re022c_1,Currency of wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re023_1,First monthly work income in self-employment,sharew3_rel9-0-0_re.dta,True
sl_re024c_1,Currency of work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re025d1_1,Contributions to retirement plans: public pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d2_1,Contributions to retirement plans: occupational pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d3_1,Contributions to retirement plans: private pension plan/individual retirement pl,sharew3_rel9-0-0_re.dta,True
sl_re025d4_1,Contributions to retirement plans: no contributions paid,sharew3_rel9-0-0_re.dta,True
sl_re026_1,Year stopped in this job,sharew3_rel9-0-0_re.dta,True
sl_re027_1,Current wage if still employed,sharew3_rel9-0-0_re.dta,True
sl_re028c_1,Currency of current wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re029_1,Current work income if still self-employed,sharew3_rel9-0-0_re.dta,True
sl_re030c_1,Currency of current work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re031_1,Reasons left job,sharew3_rel9-0-0_re.dta,True
sl_re032_1,Gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re033_1,Done in gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re034d1_1,Income during gap after leaving job 1: financial support from spouse/partner,sharew3_rel9-0-0_re.dta,True
sl_re034d2_1,Income during gap after leaving job 1: financial support from family/friends,sharew3_rel9-0-0_re.dta,True
sl_re034d3_1,Income during gap after leaving job 1: private or public disability insurance,sharew3_rel9-0-0_re.dta,True
sl_re034d4_1,Income during gap after leaving job 1: benefits or grants from state,sharew3_rel9-0-0_re.dta,True
sl_re034d5_1,Income during gap after leaving job 1: sold property,sharew3_rel9-0-0_re.dta,True
sl_re034d6_1,Income during gap after leaving job 1: running down asset or bank account,sharew3_rel9-0-0_re.dta,True
sl_re034dot_1,Income during gap after leaving job 1: other,sharew3_rel9-0-0_re.dta,True
sl_re011_2,Year started job,sharew3_rel9-0-0_re.dta,True
sl_re012isco_2,ISCO-08 code: Title of job,sharew3_rel9-0-0_re.dta,True
sl_re013_2,Job description,sharew3_rel9-0-0_re.dta,True
sl_re014_2,Job industry,sharew3_rel9-0-0_re.dta,True
sl_re015_2,Was employee civil servant or self,sharew3_rel9-0-0_re.dta,True
sl_re016_2,Job was part or full time,sharew3_rel9-0-0_re.dta,True
sl_re017_2,Why worked part-time,sharew3_rel9-0-0_re.dta,True
sl_re018_2,When changed to part-time,sharew3_rel9-0-0_re.dta,True
sl_re019_2,Reasons changing to part-time,sharew3_rel9-0-0_re.dta,True
sl_re020_2,When changed to full-time,sharew3_rel9-0-0_re.dta,True
sl_re021_2,First monthly wage in job,sharew3_rel9-0-0_re.dta,True
sl_re022c_2,Currency of wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re023_2,First monthly work income in self-employment,sharew3_rel9-0-0_re.dta,True
sl_re024c_2,Currency of work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re025d1_2,Contributions to retirement plans: public pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d2_2,Contributions to retirement plans: occupational pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d3_2,Contributions to retirement plans: private pension plan/individual retirement pl,sharew3_rel9-0-0_re.dta,True
sl_re025d4_2,Contributions to retirement plans: no contributions paid,sharew3_rel9-0-0_re.dta,True
sl_re026_2,Year stopped in this job,sharew3_rel9-0-0_re.dta,True
sl_re027_2,Current wage if still employed,sharew3_rel9-0-0_re.dta,True
sl_re028c_2,Currency of current wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re029_2,Current work income if still self-employed,sharew3_rel9-0-0_re.dta,True
sl_re030c_2,Currency of current work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re031_2,Reasons left job,sharew3_rel9-0-0_re.dta,True
sl_re032_2,Gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re033_2,Done in gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re034d1_2,Income during gap after leaving job 2: financial support from spouse/partner,sharew3_rel9-0-0_re.dta,True
sl_re034d2_2,Income during gap after leaving job 2: financial support from family/friends,sharew3_rel9-0-0_re.dta,True
sl_re034d3_2,Income during gap after leaving job 2: private or public disability insurance,sharew3_rel9-0-0_re.dta,True
sl_re034d4_2,Income during gap after leaving job 2: benefits or grants from state,sharew3_rel9-0-0_re.dta,True
sl_re034d5_2,Income during gap after leaving job 2: sold property,sharew3_rel9-0-0_re.dta,True
sl_re034d6_2,Income during gap after leaving job 2: running down asset or bank account,sharew3_rel9-0-0_re.dta,True
sl_re034dot_2,Income during gap after leaving job 2: other,sharew3_rel9-0-0_re.dta,True
sl_re011_3,Year started job,sharew3_rel9-0-0_re.dta,True
sl_re012isco_3,ISCO-08 code: Title of job,sharew3_rel9-0-0_re.dta,True
sl_re013_3,Job description,sharew3_rel9-0-0_re.dta,True
sl_re014_3,Job industry,sharew3_rel9-0-0_re.dta,True
sl_re015_3,Was employee civil servant or self,sharew3_rel9-0-0_re.dta,True
sl_re016_3,Job was part or full time,sharew3_rel9-0-0_re.dta,True
sl_re017_3,Why worked part-time,sharew3_rel9-0-0_re.dta,True
sl_re018_3,When changed to part-time,sharew3_rel9-0-0_re.dta,True
sl_re019_3,Reasons changing to part-time,sharew3_rel9-0-0_re.dta,True
sl_re020_3,When changed to full-time,sharew3_rel9-0-0_re.dta,True
sl_re021_3,First monthly wage in job,sharew3_rel9-0-0_re.dta,True
sl_re022c_3,Currency of wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re023_3,First monthly work income in self-employment,sharew3_rel9-0-0_re.dta,True
sl_re024c_3,Currency of work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re025d1_3,Contributions to retirement plans: public pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d2_3,Contributions to retirement plans: occupational pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d3_3,Contributions to retirement plans: private pension plan/individual retirement pl,sharew3_rel9-0-0_re.dta,True
sl_re025d4_3,Contributions to retirement plans: no contributions paid,sharew3_rel9-0-0_re.dta,True
sl_re026_3,Year stopped in this job,sharew3_rel9-0-0_re.dta,True
sl_re027_3,Current wage if still employed,sharew3_rel9-0-0_re.dta,True
sl_re028c_3,Currency of current wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re029_3,Current work income if still self-employed,sharew3_rel9-0-0_re.dta,True
sl_re030c_3,Currency of current work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re031_3,Reasons left job,sharew3_rel9-0-0_re.dta,True
sl_re032_3,Gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re033_3,Done in gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re034d1_3,Income during gap after leaving job 3: financial support from spouse/partner,sharew3_rel9-0-0_re.dta,True
sl_re034d2_3,Income during gap after leaving job 3: financial support from family/friends,sharew3_rel9-0-0_re.dta,True
sl_re034d3_3,Income during gap after leaving job 3: private or public disability insurance,sharew3_rel9-0-0_re.dta,True
sl_re034d4_3,Income during gap after leaving job 3: benefits or grants from state,sharew3_rel9-0-0_re.dta,True
sl_re034d5_3,Income during gap after leaving job 3: sold property,sharew3_rel9-0-0_re.dta,True
sl_re034d6_3,Income during gap after leaving job 3: running down asset or bank account,sharew3_rel9-0-0_re.dta,True
sl_re034dot_3,Income during gap after leaving job 3: other,sharew3_rel9-0-0_re.dta,True
sl_re011_4,Year started job,sharew3_rel9-0-0_re.dta,True
sl_re012isco_4,ISCO-08 code: Title of job,sharew3_rel9-0-0_re.dta,True
sl_re013_4,Job description,sharew3_rel9-0-0_re.dta,True
sl_re014_4,Job industry,sharew3_rel9-0-0_re.dta,True
sl_re015_4,Was employee civil servant or self,sharew3_rel9-0-0_re.dta,True
sl_re016_4,Job was part or full time,sharew3_rel9-0-0_re.dta,True
sl_re017_4,Why worked part-time,sharew3_rel9-0-0_re.dta,True
sl_re018_4,When changed to part-time,sharew3_rel9-0-0_re.dta,True
sl_re019_4,Reasons changing to part-time,sharew3_rel9-0-0_re.dta,True
sl_re020_4,When changed to full-time,sharew3_rel9-0-0_re.dta,True
sl_re021_4,First monthly wage in job,sharew3_rel9-0-0_re.dta,True
sl_re022c_4,Currency of wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re023_4,First monthly work income in self-employment,sharew3_rel9-0-0_re.dta,True
sl_re024c_4,Currency of work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re025d1_4,Contributions to retirement plans: public pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d2_4,Contributions to retirement plans: occupational pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d3_4,Contributions to retirement plans: private pension plan/individual retirement pl,sharew3_rel9-0-0_re.dta,True
sl_re025d4_4,Contributions to retirement plans: no contributions paid,sharew3_rel9-0-0_re.dta,True
sl_re026_4,Year stopped in this job,sharew3_rel9-0-0_re.dta,True
sl_re027_4,Current wage if still employed,sharew3_rel9-0-0_re.dta,True
sl_re028c_4,Currency of current wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re029_4,Current work income if still self-employed,sharew3_rel9-0-0_re.dta,True
sl_re030c_4,Currency of current work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re031_4,Reasons left job,sharew3_rel9-0-0_re.dta,True
sl_re032_4,Gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re033_4,Done in gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re034d1_4,Income during gap after leaving job 4: financial support from spouse/partner,sharew3_rel9-0-0_re.dta,True
sl_re034d2_4,Income during gap after leaving job 4: financial support from family/friends,sharew3_rel9-0-0_re.dta,True
sl_re034d3_4,Income during gap after leaving job 4: private or public disability insurance,sharew3_rel9-0-0_re.dta,True
sl_re034d4_4,Income during gap after leaving job 4: benefits or grants from state,sharew3_rel9-0-0_re.dta,True
sl_re034d5_4,Income during gap after leaving job 4: sold property,sharew3_rel9-0-0_re.dta,True
sl_re034d6_4,Income during gap after leaving job 4: running down asset or bank account,sharew3_rel9-0-0_re.dta,True
sl_re034dot_4,Income during gap after leaving job 4: other,sharew3_rel9-0-0_re.dta,True
sl_re011_5,Year started job,sharew3_rel9-0-0_re.dta,True
sl_re012isco_5,ISCO-08 code: Title of job,sharew3_rel9-0-0_re.dta,True
sl_re013_5,Job description,sharew3_rel9-0-0_re.dta,True
sl_re014_5,Job industry,sharew3_rel9-0-0_re.dta,True
sl_re015_5,Was employee civil servant or self,sharew3_rel9-0-0_re.dta,True
sl_re016_5,Job was part or full time,sharew3_rel9-0-0_re.dta,True
sl_re017_5,Why worked part-time,sharew3_rel9-0-0_re.dta,True
sl_re018_5,When changed to part-time,sharew3_rel9-0-0_re.dta,True
sl_re019_5,Reasons changing to part-time,sharew3_rel9-0-0_re.dta,True
sl_re020_5,When changed to full-time,sharew3_rel9-0-0_re.dta,True
sl_re021_5,First monthly wage in job,sharew3_rel9-0-0_re.dta,True
sl_re022c_5,Currency of wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re023_5,First monthly work income in self-employment,sharew3_rel9-0-0_re.dta,True
sl_re024c_5,Currency of work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re025d1_5,Contributions to retirement plans: public pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d2_5,Contributions to retirement plans: occupational pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d3_5,Contributions to retirement plans: private pension plan/individual retirement pl,sharew3_rel9-0-0_re.dta,True
sl_re025d4_5,Contributions to retirement plans: no contributions paid,sharew3_rel9-0-0_re.dta,True
sl_re026_5,Year stopped in this job,sharew3_rel9-0-0_re.dta,True
sl_re027_5,Current wage if still employed,sharew3_rel9-0-0_re.dta,True
sl_re028c_5,Currency of current wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re029_5,Current work income if still self-employed,sharew3_rel9-0-0_re.dta,True
sl_re030c_5,Currency of current work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re031_5,Reasons left job,sharew3_rel9-0-0_re.dta,True
sl_re032_5,Gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re033_5,Done in gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re034d1_5,Income during gap after leaving job 5: financial support from spouse/partner,sharew3_rel9-0-0_re.dta,True
sl_re034d2_5,Income during gap after leaving job 5: financial support from family/friends,sharew3_rel9-0-0_re.dta,True
sl_re034d3_5,Income during gap after leaving job 5: private or public disability insurance,sharew3_rel9-0-0_re.dta,True
sl_re034d4_5,Income during gap after leaving job 5: benefits or grants from state,sharew3_rel9-0-0_re.dta,True
sl_re034d5_5,Income during gap after leaving job 5: sold property,sharew3_rel9-0-0_re.dta,True
sl_re034d6_5,Income during gap after leaving job 5: running down asset or bank account,sharew3_rel9-0-0_re.dta,True
sl_re034dot_5,Income during gap after leaving job 5: other,sharew3_rel9-0-0_re.dta,True
sl_re011_6,Year started job,sharew3_rel9-0-0_re.dta,True
sl_re012isco_6,ISCO-08 code: Title of job,sharew3_rel9-0-0_re.dta,True
sl_re013_6,Job description,sharew3_rel9-0-0_re.dta,True
sl_re014_6,Job industry,sharew3_rel9-0-0_re.dta,True
sl_re015_6,Was employee civil servant or self,sharew3_rel9-0-0_re.dta,True
sl_re016_6,Job was part or full time,sharew3_rel9-0-0_re.dta,True
sl_re017_6,Why worked part-time,sharew3_rel9-0-0_re.dta,True
sl_re018_6,When changed to part-time,sharew3_rel9-0-0_re.dta,True
sl_re019_6,Reasons changing to part-time,sharew3_rel9-0-0_re.dta,True
sl_re020_6,When changed to full-time,sharew3_rel9-0-0_re.dta,True
sl_re021_6,First monthly wage in job,sharew3_rel9-0-0_re.dta,True
sl_re022c_6,Currency of wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re023_6,First monthly work income in self-employment,sharew3_rel9-0-0_re.dta,True
sl_re024c_6,Currency of work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re025d1_6,Contributions to retirement plans: public pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d2_6,Contributions to retirement plans: occupational pension plan,sharew3_rel9-0-0_re.dta,True
sl_re025d3_6,Contributions to retirement plans: private pension plan/individual retirement pl,sharew3_rel9-0-0_re.dta,True
sl_re025d4_6,Contributions to retirement plans: no contributions paid,sharew3_rel9-0-0_re.dta,True
sl_re026_6,Year stopped in this job,sharew3_rel9-0-0_re.dta,True
sl_re027_6,Current wage if still employed,sharew3_rel9-0-0_re.dta,True
sl_re028c_6,Currency of current wage - coded,sharew3_rel9-0-0_re.dta,True
sl_re029_6,Current work income if still self-employed,sharew3_rel9-0-0_re.dta,True
sl_re030c_6,Currency of current work income - coded,sharew3_rel9-0-0_re.dta,True
sl_re031_6,Reasons left job,sharew3_rel9-0-0_re.dta,True
sl_re032_6,Gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re033_6,Done in gap after leaving this job,sharew3_rel9-0-0_re.dta,True
sl_re034d1_6,Income during gap after leaving job 6: financial support from spouse/partner,sharew3_rel9-0-0_re.dta,True
sl_re034d2_6,Income during gap after leaving job 6: financial support from family/friends,sharew3_rel9-0-0_re.dta,True
sl_re034d3_6,Income during gap after leaving job 6: private or public disability insurance,sharew3_rel9-0-0_re.dta,True
sl_re034d4_6,Income during gap after leaving job 6: benefits or grants from state,sharew3_rel9-0-0_re.dta,True
sl_re034d5_6,Income during gap after leaving job 6: sold property,sharew3_rel9-0-0_re.dta,True
sl_re034d6_6,Income during gap after leaving job 6: running down asset or bank account,sharew3_rel9-0-0_re.dta,True
