column,labels,file_name,is_valid
country,Country identifier,sharew5_rel9-0-0_as.dta,True
language,Language of questionnaire,sharew5_rel9-0-0_as.dta,True
exrate,Exchange rate 1 euro,sharew5_rel9-0-0_as.dta,True
as003e,Amount bank account,sharew5_rel9-0-0_as.dta,True
as003ub,Amount bank account ub,sharew5_rel9-0-0_as.dta,True
as003v1,Bracket value 1,sharew5_rel9-0-0_as.dta,True
as003v2,Bracket value 2,sharew5_rel9-0-0_as.dta,True
as003v3,Bracket value 3,sharew5_rel9-0-0_as.dta,True
as007e,Amount in bonds,sharew5_rel9-0-0_as.dta,True
as007ub,Amount in bonds ub,sharew5_rel9-0-0_as.dta,True
as007v1,Bracket value 1,sharew5_rel9-0-0_as.dta,True
as007v2,Bracket value 2,sharew5_rel9-0-0_as.dta,True
as007v3,Bracket value 3,sharew5_rel9-0-0_as.dta,True
as011e,Amount in stocks,sharew5_rel9-0-0_as.dta,True
as011ub,Amount in stocks ub,sharew5_rel9-0-0_as.dta,True
as011v1,Bracket value 1,sharew5_rel9-0-0_as.dta,True
as011v2,Bracket value 2,sharew5_rel9-0-0_as.dta,True
as011v3,Bracket value 3,sharew5_rel9-0-0_as.dta,True
as017e,Amount in mutual funds,sharew5_rel9-0-0_as.dta,True
as017ub,Amount in mutual funds ub,sharew5_rel9-0-0_as.dta,True
as017v1,Bracket value 1,sharew5_rel9-0-0_as.dta,True
as017v2,Bracket value 2,sharew5_rel9-0-0_as.dta,True
as017v3,Bracket value 3,sharew5_rel9-0-0_as.dta,True
as019_,Mutual funds mostly stocks or bonds,sharew5_rel9-0-0_as.dta,True
as020_,Who has individual retirement accounts,sharew5_rel9-0-0_as.dta,True
as021e,Amount individual retirement accounts,sharew5_rel9-0-0_as.dta,True
as021ub,Amount individual retirement accounts ub,sharew5_rel9-0-0_as.dta,True
as021v1,Bracket value 1,sharew5_rel9-0-0_as.dta,True
as021v2,Bracket value 2,sharew5_rel9-0-0_as.dta,True
as021v3,Bracket value 3,sharew5_rel9-0-0_as.dta,True
as023_,Individual retirement accounts mostly in stocks or bonds,sharew5_rel9-0-0_as.dta,True
as024e,Partner amount individual retirement accounts,sharew5_rel9-0-0_as.dta,True
as024ub,Partner amount individual retirement accounts ub,sharew5_rel9-0-0_as.dta,True
as024v1,Bracket value 1,sharew5_rel9-0-0_as.dta,True
as024v2,Bracket value 2,sharew5_rel9-0-0_as.dta,True
as024v3,Bracket value 3,sharew5_rel9-0-0_as.dta,True
as026_,Partner individual retirement accounts mostly in stocks or bonds,sharew5_rel9-0-0_as.dta,True
as027e,Amount contractual saving for housing,sharew5_rel9-0-0_as.dta,True
as027ub,Amount contractual saving for housing ub,sharew5_rel9-0-0_as.dta,True
as027v1,Bracket value 1,sharew5_rel9-0-0_as.dta,True
as027v2,Bracket value 2,sharew5_rel9-0-0_as.dta,True
as027v3,Bracket value 3,sharew5_rel9-0-0_as.dta,True
as029_,Life insurance policies term or whole life,sharew5_rel9-0-0_as.dta,True
as030e,Face value of whole life policies,sharew5_rel9-0-0_as.dta,True
as030ub,Face value of whole life policies ub,sharew5_rel9-0-0_as.dta,True
as030v1,Bracket value 1,sharew5_rel9-0-0_as.dta,True
as030v2,Bracket value 2,sharew5_rel9-0-0_as.dta,True
as030v3,Bracket value 3,sharew5_rel9-0-0_as.dta,True
as041_,Own firm company business,sharew5_rel9-0-0_as.dta,True
as042e,Amount selling firm,sharew5_rel9-0-0_as.dta,True
as042ub,Amount selling firm ub,sharew5_rel9-0-0_as.dta,True
as042v1,Bracket value 1,sharew5_rel9-0-0_as.dta,True
as042v2,Bracket value 2,sharew5_rel9-0-0_as.dta,True
