column,labels,file_name,is_valid
country,Country identifier,sharew9_rel9-0-0_sn.dta,True
language,Language of questionnaire,sharew9_rel9-0-0_sn.dta,True
sn002a_1,Any more persons with whom you often discuss: sn person 1,sharew9_rel9-0-0_sn.dta,True
sn002a_2,Any more persons with whom you often discuss: sn person 2,sharew9_rel9-0-0_sn.dta,True
sn002a_3,Any more persons with whom you often discuss: sn person 3,sharew9_rel9-0-0_sn.dta,True
sn002a_4,Any more persons with whom you often discuss: sn person 4,sharew9_rel9-0-0_sn.dta,True
sn002a_5,Any more persons with whom you often discuss: sn person 5,sharew9_rel9-0-0_sn.dta,True
sn002a_6,Any more persons with whom you often discuss: sn person 6,sharew9_rel9-0-0_sn.dta,True
sn002a_7,Any more persons with whom you often discuss: sn person 7,sharew9_rel9-0-0_sn.dta,True
sn003a_,Anyone else very important,sharew9_rel9-0-0_sn.dta,True
sn005_1,Network relationship: sn person 1,sharew9_rel9-0-0_sn.dta,True
sn005_2,Network relationship: sn person 2,sharew9_rel9-0-0_sn.dta,True
sn005_3,Network relationship: sn person 3,sharew9_rel9-0-0_sn.dta,True
sn005_4,Network relationship: sn person 4,sharew9_rel9-0-0_sn.dta,True
sn005_5,Network relationship: sn person 5,sharew9_rel9-0-0_sn.dta,True
sn005_6,Network relationship: sn person 6,sharew9_rel9-0-0_sn.dta,True
sn005_7,Network relationship: sn person 7,sharew9_rel9-0-0_sn.dta,True
sn005a_1,Network person gender: sn person 1,sharew9_rel9-0-0_sn.dta,True
sn005a_2,Network person gender: sn person 2,sharew9_rel9-0-0_sn.dta,True
sn005a_3,Network person gender: sn person 3,sharew9_rel9-0-0_sn.dta,True
sn005a_4,Network person gender: sn person 4,sharew9_rel9-0-0_sn.dta,True
sn005a_5,Network person gender: sn person 5,sharew9_rel9-0-0_sn.dta,True
sn005a_6,Network person gender: sn person 6,sharew9_rel9-0-0_sn.dta,True
sn005a_7,Network person gender: sn person 7,sharew9_rel9-0-0_sn.dta,True
sn006_1,Network proximity: sn person 1,sharew9_rel9-0-0_sn.dta,True
sn006_2,Network proximity: sn person 2,sharew9_rel9-0-0_sn.dta,True
sn006_3,Network proximity: sn person 3,sharew9_rel9-0-0_sn.dta,True
sn006_4,Network proximity: sn person 4,sharew9_rel9-0-0_sn.dta,True
sn006_5,Network proximity: sn person 5,sharew9_rel9-0-0_sn.dta,True
sn006_6,Network proximity: sn person 6,sharew9_rel9-0-0_sn.dta,True
sn006_7,Network proximity: sn person 7,sharew9_rel9-0-0_sn.dta,True
sn007_1,Network contact: sn person 1,sharew9_rel9-0-0_sn.dta,True
sn007_2,Network contact: sn person 2,sharew9_rel9-0-0_sn.dta,True
sn007_3,Network contact: sn person 3,sharew9_rel9-0-0_sn.dta,True
sn007_4,Network contact: sn person 4,sharew9_rel9-0-0_sn.dta,True
sn007_5,Network contact: sn person 5,sharew9_rel9-0-0_sn.dta,True
sn007_6,Network contact: sn person 6,sharew9_rel9-0-0_sn.dta,True
sn007_7,Network contact: sn person 7,sharew9_rel9-0-0_sn.dta,True
sn009_1,Network closeness: sn person 1,sharew9_rel9-0-0_sn.dta,True
sn009_2,Network closeness: sn person 2,sharew9_rel9-0-0_sn.dta,True
sn009_3,Network closeness: sn person 3,sharew9_rel9-0-0_sn.dta,True
sn009_4,Network closeness: sn person 4,sharew9_rel9-0-0_sn.dta,True
sn009_5,Network closeness: sn person 5,sharew9_rel9-0-0_sn.dta,True
sn009_6,Network closeness: sn person 6,sharew9_rel9-0-0_sn.dta,True
sn009_7,Network closeness: sn person 7,sharew9_rel9-0-0_sn.dta,True
sn012_,Network satisfaction,sharew9_rel9-0-0_sn.dta,True
sn014_,Privacy SN,sharew9_rel9-0-0_sn.dta,True
sn015d1,Who was present: respondent alone,sharew9_rel9-0-0_sn.dta,True
sn015d2,Who was present: partner present,sharew9_rel9-0-0_sn.dta,True
sn015d3,Who was present: child(ren) present,sharew9_rel9-0-0_sn.dta,True
sn015dot,Who was present: other(s),sharew9_rel9-0-0_sn.dta,True
sn017_,Empty network satisfaction,sharew9_rel9-0-0_sn.dta,True
sn023_1,Reason did not mention sn person 1,sharew9_rel9-0-0_sn.dta,True
sn023_2,Reason did not mention sn person 2,sharew9_rel9-0-0_sn.dta,True
sn023_3,Reason did not mention sn person 3,sharew9_rel9-0-0_sn.dta,True
sn023_4,Reason did not mention sn person 4,sharew9_rel9-0-0_sn.dta,True
sn023_5,Reason did not mention sn person 5,sharew9_rel9-0-0_sn.dta,True
sn023_6,Reason did not mention sn person 6,sharew9_rel9-0-0_sn.dta,True
sn023_7,Reason did not mention sn person 7,sharew9_rel9-0-0_sn.dta,True
sn023_8,Reason did not mention sn person 8,sharew9_rel9-0-0_sn.dta,True
sn023_9,Reason did not mention sn person 9,sharew9_rel9-0-0_sn.dta,True
sn023_10,Reason did not mention sn person 10,sharew9_rel9-0-0_sn.dta,True
sn023_11,Reason did not mention sn person 11,sharew9_rel9-0-0_sn.dta,True
sn023_12,Reason did not mention sn person 12,sharew9_rel9-0-0_sn.dta,True
sn023_13,Reason did not mention sn person 13,sharew9_rel9-0-0_sn.dta,True
sn023_14,Reason did not mention sn person 14,sharew9_rel9-0-0_sn.dta,True
sn027_1,Year of birth sn person 1,sharew9_rel9-0-0_sn.dta,True
sn027_2,Year of birth sn person 2,sharew9_rel9-0-0_sn.dta,True
sn027_3,Year of birth sn person 3,sharew9_rel9-0-0_sn.dta,True
sn027_4,Year of birth sn person 4,sharew9_rel9-0-0_sn.dta,True
sn027_5,Year of birth sn person 5,sharew9_rel9-0-0_sn.dta,True
sn027_6,Year of birth sn person 6,sharew9_rel9-0-0_sn.dta,True
sn027_7,Year of birth sn person 7,sharew9_rel9-0-0_sn.dta,True
sn840_1,Confirm mismatched relation: sn person 1,sharew9_rel9-0-0_sn.dta,True
sn840_2,Confirm mismatched relation: sn person 2,sharew9_rel9-0-0_sn.dta,True
sn840_3,Confirm mismatched relation: sn person 3,sharew9_rel9-0-0_sn.dta,True
