column,labels,file_name,is_valid
country,Country identifier,sharew2_rel9-0-0_ch.dta,True
language,Language of questionnaire,sharew2_rel9-0-0_ch.dta,True
childid_1,Child identifier (fix across modules and waves): Child 1,sharew2_rel9-0-0_ch.dta,True
childid_2,Child identifier (fix across modules and waves): Child 2,sharew2_rel9-0-0_ch.dta,True
childid_3,Child identifier (fix across modules and waves): Child 3,sharew2_rel9-0-0_ch.dta,True
childid_4,Child identifier (fix across modules and waves): Child 4,sharew2_rel9-0-0_ch.dta,True
childid_5,Child identifier (fix across modules and waves): Child 5,sharew2_rel9-0-0_ch.dta,True
childid_6,Child identifier (fix across modules and waves): Child 6,sharew2_rel9-0-0_ch.dta,True
childid_7,Child identifier (fix across modules and waves): Child 7,sharew2_rel9-0-0_ch.dta,True
childid_8,Child identifier (fix across modules and waves): Child 8,sharew2_rel9-0-0_ch.dta,True
childid_9,Child identifier (fix across modules and waves): Child 9,sharew2_rel9-0-0_ch.dta,True
childid_10,Child identifier (fix across modules and waves): Child 10,sharew2_rel9-0-0_ch.dta,True
childid_11,Child identifier (fix across modules and waves): Child 11,sharew2_rel9-0-0_ch.dta,True
childid_12,Child identifier (fix across modules and waves): Child 12,sharew2_rel9-0-0_ch.dta,True
childid_13,Child identifier (fix across modules and waves): Child 13,sharew2_rel9-0-0_ch.dta,True
childid_14,Child identifier (fix across modules and waves): Child 14,sharew2_rel9-0-0_ch.dta,True
childid_15,Child identifier (fix across modules and waves): Child 15,sharew2_rel9-0-0_ch.dta,True
childid_16,Child identifier (fix across modules and waves): Child 16,sharew2_rel9-0-0_ch.dta,True
childid_17,Child identifier (fix across modules and waves): Child 17,sharew2_rel9-0-0_ch.dta,True
childid_18,Child identifier (fix across modules and waves): Child 18,sharew2_rel9-0-0_ch.dta,True
childid_19,Child identifier (fix across modules and waves): Child 19,sharew2_rel9-0-0_ch.dta,True
childid_20,Child identifier (fix across modules and waves): Child 20,sharew2_rel9-0-0_ch.dta,True
ch001_,Number of children,sharew2_rel9-0-0_ch.dta,True
ch002_,Natural child(ren),sharew2_rel9-0-0_ch.dta,True
ch005_1,Child 1 gender,sharew2_rel9-0-0_ch.dta,True
ch005_2,Child 2 gender,sharew2_rel9-0-0_ch.dta,True
ch005_3,Child 3 gender,sharew2_rel9-0-0_ch.dta,True
ch005_4,Child 4 gender,sharew2_rel9-0-0_ch.dta,True
ch005_5,Child 5 gender,sharew2_rel9-0-0_ch.dta,True
ch005_6,Child 6 gender,sharew2_rel9-0-0_ch.dta,True
ch005_7,Child 7 gender,sharew2_rel9-0-0_ch.dta,True
ch005_8,Child 8 gender,sharew2_rel9-0-0_ch.dta,True
ch005_9,Child 9 gender,sharew2_rel9-0-0_ch.dta,True
ch005_10,Child 10 gender,sharew2_rel9-0-0_ch.dta,True
ch005_11,Child 11 gender,sharew2_rel9-0-0_ch.dta,True
ch005_12,Child 12 gender,sharew2_rel9-0-0_ch.dta,True
ch005_13,Child 13 gender,sharew2_rel9-0-0_ch.dta,True
ch005_14,Child 14 gender,sharew2_rel9-0-0_ch.dta,True
ch005_15,Child 15 gender,sharew2_rel9-0-0_ch.dta,True
ch005_16,Child 16 gender,sharew2_rel9-0-0_ch.dta,True
ch005_17,Child 17 gender,sharew2_rel9-0-0_ch.dta,True
ch005_18,Child 18 gender,sharew2_rel9-0-0_ch.dta,True
ch005_19,Child 19 gender,sharew2_rel9-0-0_ch.dta,True
ch005_20,Child 20 gender,sharew2_rel9-0-0_ch.dta,True
ch006_1,Child 1 year of birth,sharew2_rel9-0-0_ch.dta,True
ch006_2,Child 2 year of birth,sharew2_rel9-0-0_ch.dta,True
